drill_id,frame_num,coach_acc,student_acc,pose_sim,ball1,ball2,clip_label,clip_sim
Drill 101,118,100.0,47.06,1.7022154382907013,"(515, 292)","(286, 211)",dribbling vs kicking,0.754
Drill 101,119,100.0,0.0,1.9076115863891414,"(465, 349)","(359, 203)",dribbling vs kicking,0.748
Drill 101,120,100.0,64.71,1.8284075839527847,"(496, 53)","(297, 211)",dribbling vs kicking,0.755
Drill 101,121,88.24,58.82,1.6128769577100772,"(496, 383)","(509, 190)",dribbling vs kicking,0.767
Drill 101,122,100.0,64.71,1.905350652944783,"(484, 387)","(309, 215)",dribbling vs kicking,0.783
Drill 101,123,100.0,58.82,2.1022418770745612,"(475, 385)","(515, 194)",dribbling vs kicking,0.769
Drill 101,124,100.0,70.59,1.8299008098497216,"(467, 389)","(506, 194)",dribbling vs kicking,0.778
Drill 101,125,94.12,64.71,1.92356866604552,"(466, 29)","(373, 229)",dribbling vs kicking,0.79
Drill 101,126,100.0,47.06,2.0222427324329604,"(461, 27)","(305, 248)",dribbling vs kicking,0.819
Drill 101,127,100.0,58.82,1.8429963287702438,"(460, 26)","(305, 259)",dribbling vs kicking,0.751
Drill 101,128,100.0,52.94,2.054405264089842,"(458, 359)","(418, 272)",dribbling vs kicking,0.712
Drill 101,129,88.24,52.94,2.008972149922683,"(435, 392)","(575, 265)",dribbling vs kicking,0.753
Drill 101,130,88.24,23.53,2.2357375808210542,"(745, 79)","(692, 86)",dribbling vs kicking,0.726
Drill 101,131,100.0,41.18,2.3281555126026308,"(745, 79)","(770, 169)",dribbling vs kicking,0.758
Drill 101,132,100.0,52.94,2.1973209179977164,"(745, 79)","(406, 285)",dribbling vs kicking,0.817
Drill 101,133,100.0,41.18,2.4195810146679912,"(579, 97)","(453, 315)",dribbling vs kicking,0.794
Drill 101,134,100.0,23.53,2.2725126039463204,"(445, 281)","(455, 301)",dribbling vs kicking,0.792
Drill 101,135,100.0,35.29,2.389155130126253,"(403, 394)","(556, 230)",kicking vs dribbling,0.798
